City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bethel,60.79,-161.76,46.04,92,90,13.87,US,1539324360
Klaksvik,62.23,-6.59,48.2,81,44,9.17,FO,1539325200
Kushiro,43.11,144.15,59.0,87,75,13.87,JP,1539324000
Tiznit,29.7,-9.73,62.74,98,0,2.71,MA,1539326432
Tatarsk,55.22,75.96,48.25,75,92,14.12,RU,1539326432
Saskylakh,71.97,114.09,28.22,96,48,4.72,RU,1539326432
Changping,40.22,116.23,66.2,25,0,6.71,CN,1539324000
Vila Velha,-3.71,-38.6,78.8,78,20,14.99,BR,1539324000
Lope de Vega,12.3,124.62,83.98,98,100,11.99,PH,1539326433
Ganzhou,25.86,114.93,59.5,94,92,3.15,CN,1539326434
Gotsu,35.01,132.22,64.4,59,75,9.17,JP,1539324000
Iqaluit,63.75,-68.52,17.6,85,75,4.7,CA,1539324000
College,64.86,-147.8,35.78,86,75,3.94,US,1539325860
Estrela,-29.5,-51.96,64.0,74,44,5.95,BR,1539326436
Kavieng,-2.57,150.8,85.24,100,44,8.97,PG,1539326436
Lagoa,37.14,-8.45,66.2,93,20,3.36,PT,1539324000
Balkanabat,39.51,54.36,65.44,34,36,3.15,TM,1539326437
Sao Filipe,14.9,-24.5,78.89,98,0,11.99,CV,1539326437
Shache,38.42,77.24,64.54,33,0,4.72,CN,1539326438
San Andres,13.32,122.68,85.69,98,0,6.96,PH,1539326438
Kamina,-8.74,25.0,69.17,92,80,4.38,CD,1539326439
Banda Aceh,5.56,95.32,82.72,85,36,3.15,ID,1539326439
Charyshskoye,51.4,83.56,60.89,35,0,15.79,RU,1539326440
Vaini,15.34,74.49,91.18,43,12,3.15,IN,1539326440
Lokoja,7.8,6.74,72.64,97,32,4.61,NG,1539326440
Solnechnyy,50.72,136.64,51.26,46,0,3.27,RU,1539326441
Nelson Bay,-32.72,152.14,62.6,59,40,17.22,AU,1539324000
Vorukh,39.85,70.57,26.24,88,0,1.36,KG,1539326441
Huacho,-11.11,-77.61,57.7,100,48,5.61,PE,1539326442
Bathsheba,13.22,-59.52,80.6,83,40,9.17,BB,1539324000
Naron,43.52,-8.15,66.2,68,75,20.8,ES,1539325800
Tynda,55.15,124.74,48.7,54,36,3.49,RU,1539326443
Isla Mujeres,21.23,-86.73,73.4,100,40,2.24,MX,1539323040
Iwanai,42.97,140.51,55.76,100,80,19.82,JP,1539326444
Manokwari,-0.87,134.08,81.59,100,44,2.93,ID,1539326444
Alexandria,31.31,-92.44,60.08,80,1,5.82,US,1539324900
Clyde River,70.47,-68.59,12.2,85,40,3.36,CA,1539324000
Hithadhoo,-0.6,73.08,84.29,100,32,3.6,MV,1539326446
Denpasar,-8.65,115.22,87.8,66,20,9.17,ID,1539324000
Mandiana,10.62,-8.7,68.05,97,24,6.73,GN,1539326446
Port Macquarie,-31.43,152.91,60.8,77,90,9.17,AU,1539324000
Pangai,-19.8,-174.35,78.8,94,20,6.93,TO,1539324000
Ukiah,39.15,-123.21,55.94,66,1,1.59,US,1539323760
Deputatskiy,69.3,139.9,16.75,91,48,2.82,RU,1539326448
Hanzhong,33.08,107.03,58.64,66,88,3.15,CN,1539326448
Penticton,49.49,-119.59,41.0,80,75,2.24,CA,1539324000
Tiarei,-17.53,-149.33,80.6,69,75,3.36,PF,1539324000
Lebu,8.96,38.73,67.19,31,0,3.71,ET,1539326450
Kavaratti,10.57,72.64,84.2,99,64,9.53,IN,1539326450
Kindersley,51.47,-109.16,30.2,80,90,24.16,CA,1539324000
Leningradskiy,69.38,178.42,35.38,98,88,12.1,RU,1539326451
Bodden Town,19.28,-81.25,82.27,100,64,4.27,KY,1539326451
Surt,31.21,16.59,73.4,99,80,10.42,LY,1539326451
Victoria,5.28,115.24,89.6,70,75,5.82,BN,1539324000
Galveston,40.58,-86.19,40.46,80,1,5.82,US,1539324900
Nizhniy Lomov,53.53,43.67,39.07,82,0,7.74,RU,1539326453
Oranjestad,12.52,-70.03,82.99,98,44,7.18,AW,1539326425
Zhucheng,30.85,114.8,75.2,22,0,4.47,CN,1539324000
Salalah,17.01,54.1,87.8,55,75,20.8,OM,1539323400
Okha,53.59,142.95,47.89,71,8,10.76,RU,1539326454
Port Hedland,-20.31,118.58,93.2,30,0,20.8,AU,1539324000
Kaitangata,-46.28,169.85,43.3,63,92,18.7,NZ,1539326455
Lompoc,34.64,-120.46,59.0,86,1,1.81,US,1539323880
Sao Miguel do Araguaia,-13.28,-50.16,73.63,90,0,2.71,BR,1539326456
Bambous Virieux,-20.34,57.76,75.2,64,75,14.99,MU,1539324000
Cabo San Lucas,22.89,-109.91,80.69,100,32,9.98,MX,1539326199
Malanje,-9.54,16.35,66.56,92,64,5.5,AO,1539326457
Khani,41.96,42.96,69.8,68,0,2.24,GE,1539324000
Tuxpan,19.56,-103.38,54.19,91,8,1.92,MX,1539326458
San Carlos de Bariloche,-41.13,-71.31,39.2,80,0,17.22,AR,1539324000
Kieta,-6.22,155.63,81.86,93,68,5.06,PG,1539326459
Arraial do Cabo,-22.97,-42.02,73.27,99,80,3.94,BR,1539326459
Nouadhibou,20.93,-17.03,71.6,83,32,13.87,MR,1539324000
Merauke,-8.49,140.4,88.12,64,20,13.89,ID,1539326460
Mariental,52.28,10.99,53.6,71,0,4.7,DE,1539325200
Voh,-20.95,164.69,73.09,100,8,12.77,NC,1539326460
Rome,41.89,12.48,62.6,100,80,2.24,IT,1539324000
Kanigoro,-8.13,112.22,80.83,75,0,11.99,ID,1539326461
Marsaxlokk,35.84,14.54,66.2,93,20,2.24,MT,1539323100
Ponta Delgada,37.73,-25.67,71.6,88,75,25.28,PT,1539324000
Ferrandina,40.5,16.45,64.4,93,75,4.7,IT,1539323700
Kruisfontein,-34.0,24.73,59.77,100,92,13.22,ZA,1539326463
Caravelas,-17.73,-39.27,77.23,100,12,14.79,BR,1539326463
DAULTALA,33.19,73.14,75.2,41,0,4.7,PK,1539322200
Birjand,32.86,59.22,69.8,9,0,9.17,IR,1539324000
Aykhal,65.95,111.51,26.69,72,56,4.38,RU,1539326464
Plettenberg Bay,-34.05,23.37,59.36,100,56,15.23,ZA,1539326465
Takoradi,4.89,-1.75,76.82,99,76,4.5,GH,1539326465
Revuca,48.68,20.12,42.8,87,0,1.12,SK,1539324000
Rio Verde de Mato Grosso,-18.92,-54.84,71.47,93,44,3.6,BR,1539326466
Ponta do Sol,-20.63,-46.0,70.79,72,36,10.76,BR,1539326466
Carauari,-4.88,-66.9,72.77,98,88,4.5,BR,1539326466
Faanui,-16.48,-151.75,78.04,100,88,18.81,PF,1539326467
Lingolsheim,48.56,7.68,53.6,93,0,2.24,FR,1539325200
Dhoraji,21.73,70.45,95.5,36,20,8.41,IN,1539326468
Salaverry,-8.22,-78.98,64.4,88,90,8.05,PE,1539324000
Mairang,25.56,91.64,80.6,88,90,3.27,IN,1539325800
Isangel,-19.55,169.27,76.82,99,0,9.19,VU,1539326469
Diego de Almagro,-26.39,-70.05,50.95,94,32,1.25,CL,1539326469
Mmabatho,-25.85,25.61,78.8,14,0,4.7,ZA,1539324000
Goma,-1.67,29.23,63.1,100,48,2.59,CD,1539326470
Beloha,-25.17,45.06,79.07,61,24,6.62,MG,1539326470
Ilulissat,69.22,-51.1,8.6,65,24,3.36,GL,1539323400
Dong Hoi,17.48,106.6,78.85,100,100,10.87,VN,1539326471
Paamiut,61.99,-49.67,34.39,100,0,32.01,GL,1539326471
Crainhem,50.86,4.47,59.0,93,20,6.93,BE,1539325500
Sompeta,18.93,84.6,75.29,100,92,4.61,IN,1539326472
Chumikan,54.72,135.31,49.01,63,12,11.43,RU,1539326473
Samarai,-10.62,150.67,79.52,100,100,12.77,PG,1539326473
Pontalina,-17.52,-49.45,67.55,98,68,0.58,BR,1539326473
Najran,17.54,44.22,82.4,17,0,2.59,SA,1539324000
Puerto del Rosario,28.5,-13.86,71.6,83,40,8.05,ES,1539325800
Aswan,24.09,32.9,75.25,49,0,5.61,EG,1539326474
Maragogi,-9.01,-35.22,73.76,90,92,5.95,BR,1539326475
Edd,13.93,41.69,89.83,25,0,1.92,ER,1539326475
Borogontsy,62.67,131.17,30.79,72,80,4.83,RU,1539326475
Saint George,39.45,22.34,59.0,72,40,8.05,GR,1539323400
Mbaiki,3.87,17.99,71.42,96,92,2.93,CF,1539326476
Agadir,30.42,-9.58,62.6,88,0,2.24,MA,1539324000
Imeni Poliny Osipenko,52.42,136.49,50.95,48,0,4.27,RU,1539326477
Emirdag,39.02,31.15,52.34,85,36,3.49,TR,1539326477
Kotdwara,29.75,78.53,75.79,58,0,2.71,IN,1539326477
Meulaboh,4.14,96.13,82.04,100,80,2.37,ID,1539326478
Batticaloa,7.71,81.69,84.7,91,88,5.17,LK,1539326478
Rocha,-34.48,-54.34,46.94,99,100,6.4,UY,1539326479
Kalga,50.92,118.9,58.6,41,0,6.51,RU,1539326479
Leshukonskoye,64.9,45.76,37.4,80,0,9.53,RU,1539326480
Castro,-42.48,-73.76,32.81,100,32,2.37,CL,1539326480
Kholodnyy,62.72,147.95,17.51,83,80,3.15,RU,1539326480
Westport,53.8,-9.52,50.0,81,75,23.04,IE,1539325800
Waddan,29.16,16.14,61.16,91,0,5.28,LY,1539326481
Coihaique,-45.58,-72.07,39.2,80,75,3.36,CL,1539324000
Rura,26.49,79.9,89.87,57,0,4.72,IN,1539326482
Pisco,-13.71,-76.2,66.2,77,90,4.7,PE,1539324000
Xining,36.62,101.77,53.02,48,0,0.81,CN,1539326483
Luganville,-15.51,167.18,79.48,100,92,11.99,VU,1539326483
Ciudad Bolivar,8.12,-63.55,72.59,96,80,7.74,VE,1539326483
Woodmere,41.46,-81.48,51.98,56,90,14.99,US,1539325200
Fereydun Kenar,36.69,52.52,69.8,77,90,4.7,IR,1539324000
Barranca,-10.75,-77.76,61.75,99,92,12.1,PE,1539326485
Venado Tuerto,-33.75,-61.97,50.23,100,92,6.17,AR,1539326485
Barentu,15.11,37.59,75.88,70,0,4.16,ER,1539326486
San Quintin,17.54,120.52,91.4,66,40,9.17,PH,1539324000
Biak,-0.91,122.88,84.07,85,12,4.05,ID,1539326486
Grand Gaube,-20.01,57.66,75.2,64,75,14.99,MU,1539324000
Tahe,52.34,124.71,56.62,50,12,3.38,CN,1539326487
San Francisco Menendez,13.84,-90.02,75.25,97,92,5.39,SV,1539326487
Limoges,45.84,1.26,62.6,82,0,9.17,FR,1539325800
Kvasice,49.24,17.47,55.4,76,0,5.82,CZ,1539324000
Coahuayana,18.62,-100.35,63.41,92,36,2.71,MX,1539326488
Sars,56.55,57.14,34.03,77,76,9.64,RU,1539326489
Saint Anthony,43.97,-111.68,39.02,81,1,6.93,US,1539323760
Sovetskiy,56.76,48.47,35.24,80,0,13.22,RU,1539326490
Ankazoabo,-22.29,44.51,78.62,53,24,10.2,MG,1539326490
Mayumba,-3.44,10.65,76.15,100,92,5.17,GA,1539326491
Bima,-8.45,118.73,90.55,54,0,2.71,ID,1539326491
Esperance,10.24,-61.45,78.8,88,20,4.7,TT,1539324000
Camocim,-2.9,-40.84,74.84,90,12,14.56,BR,1539326492
Keti Bandar,24.14,67.45,83.84,94,32,3.6,PK,1539326492
Amapa,15.09,-87.97,77.0,83,40,8.05,HN,1539324000
Provideniya,64.42,-173.23,42.8,87,75,17.9,RU,1539322200
Constitucion,23.99,-104.67,50.14,60,0,6.17,MX,1539326493
East London,-33.02,27.91,59.0,93,90,11.41,ZA,1539324000
Oktyabrskiy,55.61,37.97,41.0,86,0,4.47,RU,1539324000
Vagay,57.94,69.02,35.96,94,68,12.44,RU,1539326494
Viedma,-40.81,-62.99,50.05,80,92,10.98,AR,1539326495
Altamira,-3.2,-52.21,76.82,91,76,3.6,BR,1539326472
Tuatapere,-46.13,167.69,44.2,100,92,14.45,NZ,1539326495
Bowen,-20.01,148.25,76.19,98,32,10.2,AU,1539326496
Port Elizabeth,39.31,-74.98,71.06,97,90,12.75,US,1539325620
Misratah,32.38,15.09,71.15,100,48,6.62,LY,1539326497
Richards Bay,-28.77,32.06,72.5,72,24,14.34,ZA,1539326497
Esfahan,32.66,51.68,66.2,37,20,4.7,IR,1539324000
Cururupu,-1.82,-44.87,78.04,83,0,8.63,BR,1539326498
Moga,30.82,75.17,78.62,88,0,4.61,IN,1539326498
Fuerte Olimpo,-21.04,-57.87,74.3,93,44,3.94,BR,1539326498
Tkibuli,42.35,43.0,69.8,68,0,2.24,GE,1539324000
Saint-Augustin,44.83,-0.61,64.4,93,0,10.29,FR,1539324000
Margate,-43.03,147.26,62.6,59,20,12.75,AU,1539324000
Sibolga,1.74,98.78,72.95,96,92,2.59,ID,1539326500
Ullapool,57.9,-5.16,51.4,100,92,22.73,GB,1539326500
Souillac,45.6,-0.6,64.4,93,0,12.75,FR,1539325800
Healdsburg,38.61,-122.87,55.94,89,1,2.26,US,1539323760
Pacifica,37.61,-122.49,60.98,69,20,12.75,US,1539324000
Tilichiki,60.47,166.1,36.95,84,20,2.71,RU,1539326501
Guerrero Negro,27.97,-114.04,66.79,94,88,4.94,MX,1539326502
Kloulklubed,7.04,134.26,87.8,70,75,9.17,PW,1539323400
La Libertad,-16.38,-71.56,50.0,43,0,2.24,PE,1539324000
Port Hardy,50.7,-127.42,51.8,87,90,6.93,CA,1539324000
North Bend,43.41,-124.22,48.92,89,0,4.72,US,1539324900
Bonnyville,54.27,-110.74,33.8,89,90,5.82,CA,1539325380
Corum,38.8,29.89,60.8,63,0,9.17,TR,1539323400
Saint-Georges,46.12,-70.67,59.05,93,92,8.19,CA,1539326505
Porto Nacional,-10.7,-48.41,77.0,88,0,3.36,BR,1539324000
Tungawan,7.6,122.42,82.49,94,32,3.38,PH,1539326506
Pochutla,15.74,-96.47,74.8,100,92,5.5,MX,1539326506
Ciofrangeni,45.08,24.53,49.24,74,0,3.94,RO,1539326506
Wanning,48.64,13.53,46.4,87,0,2.24,AT,1539323400
Puksoozero,62.59,40.61,35.24,91,76,6.4,RU,1539326507
Lakes Entrance,-37.88,147.99,61.75,74,8,12.44,AU,1539326443
Harper,30.3,-99.24,64.94,80,90,6.4,US,1539324900
Ballina,54.11,-9.15,50.0,81,75,23.04,IE,1539325800
Voskresenskoye,56.84,45.43,37.31,80,0,6.06,RU,1539326508
Pouembout,-21.12,164.9,70.16,93,80,3.38,NC,1539326509
Half Moon Bay,37.46,-122.43,60.98,72,1,4.38,US,1539324000
General Pico,-35.66,-63.75,50.77,92,92,8.08,AR,1539326510
Inyonga,-6.72,32.06,76.78,41,32,7.29,TZ,1539326510
Vizovice,49.22,17.85,55.4,76,0,5.82,CZ,1539324000
Funtua,11.52,7.31,70.39,87,76,6.96,NG,1539326511
Fort-Shevchenko,44.51,50.26,59.14,95,0,15.79,KZ,1539326511
Kyela,-9.6,33.87,75.65,58,8,4.72,MW,1539326512
Gibraleon,37.38,-6.97,70.93,95,36,13.67,ES,1539326512
Norman Wells,65.28,-126.83,26.6,79,75,5.82,CA,1539324000
Atar,20.52,-13.05,70.34,52,0,3.6,MR,1539326513
Flin Flon,54.77,-101.88,27.95,100,12,7.96,CA,1539326514
Vostok,46.45,135.83,44.92,68,36,4.27,RU,1539326514
Nampa,43.57,-116.56,42.08,100,1,2.15,US,1539324900
Pontes e Lacerda,-15.23,-59.33,71.74,91,32,2.71,BR,1539326515
Mehamn,71.03,27.85,42.8,93,75,5.82,NO,1539323400
Naze,5.43,7.07,73.4,94,40,3.94,NG,1539324000
Tottori,35.5,134.23,66.2,48,75,9.17,JP,1539324000
Tazovskiy,67.47,78.7,34.79,98,92,13.0,RU,1539326516
Tura,25.52,90.21,71.92,98,92,5.61,IN,1539326517
Manaus,-3.13,-59.98,75.2,94,75,1.12,BR,1539324000
Hirara,24.8,125.28,71.6,88,75,16.11,JP,1539324000
Mahad,18.08,73.42,91.31,63,0,5.39,IN,1539326518
Sao Jose da Coroa Grande,-8.9,-35.15,73.76,90,92,5.95,BR,1539326518
Nemuro,43.32,145.57,59.0,82,75,6.93,JP,1539324000
Kodinsk,58.6,99.18,43.52,50,0,4.94,RU,1539326519
Axim,4.87,-2.24,78.62,99,88,7.4,GH,1539326520
Aripuana,-9.17,-60.63,73.27,95,32,1.03,BR,1539326520
Houma,35.63,111.36,64.85,31,44,6.17,CN,1539326520
Nuuk,64.17,-51.74,24.8,58,8,21.92,GL,1539323400
Ndioum,16.51,-14.65,74.08,43,0,5.39,SN,1539326521
Egvekinot,66.32,-179.17,32.54,79,88,11.1,RU,1539326521
Bubaque,11.28,-15.83,77.0,94,40,3.36,GW,1539324000
Tabuk,17.41,121.44,77.36,82,76,2.37,PH,1539326522
San Carlos,9.66,-68.59,71.29,96,76,3.94,VE,1539326523
Labuhan,-2.54,115.51,79.57,95,56,2.71,ID,1539326523
Gornopravdinsk,60.06,69.92,34.25,89,92,9.98,RU,1539326529
Freeport,26.54,-78.7,82.49,98,64,11.99,BS,1539326530
Mumbwa,-14.99,27.06,76.64,31,0,10.65,ZM,1539326595
Pascagoula,30.37,-88.56,65.12,72,1,10.29,US,1539323760
Helong,25.94,116.13,63.05,90,92,3.38,CN,1539326531
Nichinan,31.65,131.31,68.0,42,75,3.36,JP,1539324000
Fallon,46.84,-105.12,35.96,89,90,4.7,US,1539323760
Krasnyy Chikoy,50.36,108.75,48.74,63,92,3.15,RU,1539326532
Berlevag,70.86,29.09,42.8,75,75,8.05,NO,1539323400
Vanimo,-2.67,141.3,84.34,100,32,10.87,PG,1539326533
Barsovo,61.17,73.17,35.6,100,75,8.95,RU,1539324000
Yerofey Pavlovich,53.97,121.97,51.13,51,44,3.38,RU,1539326534
Baruun-Urt,46.68,113.28,56.66,32,0,16.91,MN,1539326534
Ulaanbaatar,47.92,106.92,57.2,24,20,4.47,MN,1539325800
Fairbanks,64.84,-147.72,35.78,86,75,3.94,US,1539325860
Helena,46.59,-112.04,44.06,11,1,13.87,US,1539323580
Raudeberg,61.99,5.14,60.8,55,40,20.8,NO,1539325200
Carutapera,-1.2,-46.02,80.24,82,56,10.98,BR,1539326536
Kapuskasing,49.42,-82.43,32.0,86,90,14.99,CA,1539324000
Inuvik,68.36,-133.71,26.6,86,90,6.93,CA,1539324000
Surin,14.88,103.49,87.8,62,40,13.87,TH,1539324000
Santa Maria,-29.69,-53.81,65.35,78,80,14.79,BR,1539326539
Quimper,48.0,-4.1,64.4,77,90,17.22,FR,1539324000
Mayo,63.59,-135.9,30.2,100,75,2.48,CA,1539324000
Chinsali,-10.55,32.07,73.49,50,76,8.75,ZM,1539326540
Mangrol,25.33,76.51,90.55,50,0,5.5,IN,1539326541
Bulgan,48.81,103.53,57.92,39,20,4.94,MN,1539326541
